nama_vga,harga_vga
Gigabyte GeForce RTX 2070 SUPER,979.0
Gigabyte GeForce RTX 2060,699.0
Gigabyte GeForce GTX 1060 6GB,361.0
HIS Radeon HD 5450,144.0
HP Quadro K600,51.0
HP Quadro K2000,135.0
HP Quadro K2000,119.0
HP Quadro K4000,188.0
HP FirePro W7000,153.0
HP FirePro V3900,98.0
HP FirePro W5100,259.0
HP FirePro W7100,387.0
Jaton GeForce GT 630,101.0
Lenovo Quadro K2000,156.0
MSI GeForce GTX 1080 Ti,998.0
MSI Radeon RX 550 - 512,200.0
MSI GeForce GTX 1070,553.0
MSI GeForce GTX 1650 SUPER,182.0
MSI Radeon RX VEGA 56,699.0
MSI Radeon RX 580,499.0
MSI Radeon RX 580,399.0
MSI Radeon RX 570,169.0
MSI Radeon RX 470,425.0
MSI Radeon RX 580,209.0
MSI Radeon RX 570,279.0
MSI GeForce GTX 1650,177.0
MSI GeForce GTX 1650,165.0
MSI GeForce GTX 1650,374.0
MSI GeForce RTX 2070,929.0
MSI GeForce GTX 1080 Ti,1078.0
MSI GeForce GTX 1070,899.0
MSI Radeon RX 5600 XT,348.0
MSI Radeon RX 5500 XT,236.0
MSI GeForce GTX 1660 Ti,499.0
MSI Radeon RX 5600 XT,389.0
MSI Radeon RX 470,799.0
MSI GeForce GTX 1060 6GB,480.0
MSI GeForce GTX 1660 SUPER,549.0
MSI Radeon RX 5700,393.0
MSI GeForce GTX 1050 Ti,182.0
MSI Radeon RX 5700 XT,506.0
MSI GeForce GTX 1650 SUPER,230.0
MSI GeForce RTX 2070 SUPER,1149.0
MSI GeForce GTX 1650,399.0
MSI Radeon RX 570,329.0
MSI GeForce RTX 3080,1369.0
MSI GeForce GTX 1080 Ti,1999.0
MSI GeForce RTX 3090,2999.0
MSI GeForce RTX 2080 SUPER,869.0
MSI GeForce RTX 2060,464.0
MSI GeForce GTX 1070,1347.0
MSI GeForce GT 1030,83.0
MSI GeForce GT 1030 DDR4,79.0
MSI GeForce GT 1030,86.0
MSI GeForce GT 710,29.0
MSI GeForce GT 710,51.0
MSI GeForce GT 710,49.0
MSI GeForce GT 710,35.0
MSI GeForce GTX 1650,207.0
MSI GeForce GTX 1060 3GB,349.0
MSI GeForce GTX 1050,396.0
MSI GeForce GTX 1050 Ti,152.0
MSI GeForce GTX 1050 Ti,313.0
MSI GeForce GTX 1050 Ti,148.0
MSI GeForce GTX 950,404.0
MSI GeForce GTX 980,1614.0
MSI GeForce GTX 680,1043.0
MSI GeForce RTX 2080 Ti,2324.0
MSI Radeon RX 5500 XT,253.0
MSI Radeon RX 5600 XT,367.0
MSI Radeon RX 5700 XT,490.0
MSI Radeon RX 5500 XT,227.0
MSI GeForce GT 430,79.0
MSI GeForce GTX 550 Ti,278.0
MSI GeForce GTX 560 Ti,429.0
MSI GeForce GT 610,201.0
MSI GeForce GTX 650,291.0
MSI GeForce GTX 650 Ti,336.0
MSI GeForce GTX 650 Ti,355.0
MSI GeForce GTX 660,487.0
MSI GeForce GTX 660,500.0
MSI GeForce GTX 670,788.0
MSI GeForce GTX 680,963.0
MSI GeForce GT 730,64.0
MSI GeForce GT 730,90.0
MSI GeForce GT 730,129.0
MSI GeForce GTX 1070,1332.0
MSI Radeon HD 4350,149.0
MSI Radeon HD 6450,95.0
MSI Radeon R7 360,294.0
MSI Radeon RX 580,329.0
MSI Radeon HD 7850,459.0
MSI GeForce GTX 680,974.0
MSI GeForce RTX 3070,1299.0
MSI GeForce RTX 3090,2464.0
MSI GeForce RTX 2070 SUPER,899.0
MSI GeForce RTX 2080 SUPER,1329.0
MSI GeForce GTX 1660 SUPER,300.0
MSI GeForce GTX 1660 Ti,549.0
MSI GeForce GTX 1650,316.0
MSI GeForce GTX 1650 SUPER,290.0
MSI GeForce RTX 2060,617.0
NVIDIA GeForce GTX Titan X,1996.0
NVIDIA GeForce GTX 980,1539.0
NVIDIA GeForce RTX 2080 SUPER,1349.0
NVIDIA GeForce GTX 1080,1099.0
NVIDIA GeForce RTX 2080 Ti,1899.0
NVIDIA GeForce GTX 1070 Ti,789.0
NVIDIA GeForce RTX 2060 SUPER,999.0
NVIDIA GeForce RTX 2070,2199.0
NVIDIA GeForce RTX 2070 SUPER,1199.0
NVIDIA Titan Xp,2179.0
NVIDIA Titan Xp,2379.0
NVIDIA TITAN RTX,3400.0
PNY GeForce GTX 1660,381.0
PNY GeForce RTX 2060 SUPER,399.0
